Indicador,Nível Territorial,Abertura Territorial,Variável de abertura 1,Categoria de abertura 1,Variável de abertura 2,Categoria de abertura 2,Valor,mes_entrevista
Pessoas que apresentaram o sintoma de perda de cheiro ou de sabor (mil pessoas),País,Brasil,Sexo,Total,-,-,3870.4257757339187,5
Pessoas que apresentaram o sintoma de perda de cheiro ou de sabor (mil pessoas),País,Brasil,Sexo,Homem,-,-,1619.2297389853456,5
Pessoas que apresentaram o sintoma de perda de cheiro ou de sabor (mil pessoas),País,Brasil,Sexo,Mulher,-,-,2251.1960367485717,5
Pessoas que apresentaram o sintoma de perda de cheiro ou de sabor (mil pessoas),País,Brasil,Grupos de Idade,Total,-,-,3870.4257757339187,5
Pessoas que apresentaram o sintoma de perda de cheiro ou de sabor (mil pessoas),País,Brasil,Grupos de Idade,0 a 9 anos,-,-,93.67227423118788,5
Pessoas que apresentaram o sintoma de perda de cheiro ou de sabor (mil pessoas),País,Brasil,Grupos de Idade,10 a 19 anos,-,-,380.3003687095516,5
Pessoas que apresentaram o sintoma de perda de cheiro ou de sabor (mil pessoas),País,Brasil,Grupos de Idade,20 a 29 anos,-,-,829.1592536962999,5
Pessoas que apresentaram o sintoma de perda de cheiro ou de sabor (mil pessoas),País,Brasil,Grupos de Idade,30 a 59 anos,-,-,2134.778464778349,5
Pessoas que apresentaram o sintoma de perda de cheiro ou de sabor (mil pessoas),País,Brasil,Grupos de Idade,60 anos ou mais,-,-,432.5154143185288,5
Pessoas que apresentaram o sintoma de perda de cheiro ou de sabor (mil pessoas),País,Brasil,Grupos de Idade 2,Total ,-,-,3870.4257757339187,5
Pessoas que apresentaram o sintoma de perda de cheiro ou de sabor (mil pessoas),País,Brasil,Grupos de Idade 2,0 a 59 anos ,-,-,3437.910361415388,5
Pessoas que apresentaram o sintoma de perda de cheiro ou de sabor (mil pessoas),País,Brasil,Grupos de Idade 2,60 anos ou mais ,-,-,432.5154143185288,5
Pessoas que apresentaram o sintoma de perda de cheiro ou de sabor (mil pessoas),País,Brasil,Cor ou Raça,Total4,-,-,3870.4257757339187,5
Pessoas que apresentaram o sintoma de perda de cheiro ou de sabor (mil pessoas),País,Brasil,Cor ou Raça,Branca,-,-,1065.1020805245596,5
Pessoas que apresentaram o sintoma de perda de cheiro ou de sabor (mil pessoas),País,Brasil,Cor ou Raça,Preta ou parda,-,-,2742.524654161197,5
Pessoas que apresentaram o sintoma de perda de cheiro ou de sabor (mil pessoas),País,Brasil,Nível de instrução,Total,-,-,3870.4257757339187,5
Pessoas que apresentaram o sintoma de perda de cheiro ou de sabor (mil pessoas),País,Brasil,Nível de instrução,Sem instrução ao fundamental incompleto,-,-,1099.655458510471,5
